Text	TrueLabel	PredictedLabels(Top-5)
holiday season at disneyland	9 ❤	['🎄', '✨', '📷', '💙', '😁']
bathroom selfies with my girls. …	17 😊	['😂', '😉', '😜', '📷', '😘']
thank you / repost from using repostregramapp - check out in…	8 😘	['😘', '😊', '🔥', '💯', '😁']
congratulations suz.luk wishing you a future filled with lots of love, heath, and happiness ️…	9 ❤	['💕', '✨', '💙', '😘', '😊']
coach is just keeping it vikings 10-2 .s. bank stadium	19 💯	['😉', '💙', '💯', '😜', '😂']
thank you for having me debut my work with catch us next…	2 😍	['😁', '😊', '😘', '😉', '💯']
so happy to be back with my favorite girls michigan…	15 💕	['💕', '💜', '😘', '❤', '😊']
... but .... what's in the pouch ?!? pouch	3 😂	['😜', '📸', '😍', '😂', '😉']
these two target	9 ❤	['😜', '📸', '😍', '😂', '😉']
when you can't dance, you just play with your hair instead last month on location in south…	0 😜	['😉', '😜', '😂', '📸', '😍']
birthday dinner for ky ️ japanese steak house & sushi	9 ❤	['😘', '❤', '😜', '😊', '💕']
credit to; nurhumairasefia , texas	13 ✨	['📷', '📸', '😎', '😂', '💯']
spent lunch tracking down didn't find him but snagged his new book! …	2 😍	['✨', '😍', '🔥', '📸', '😜']
love orchids , district of columbia	2 😍	['❤', '💕', '😘', '💜', '😍']
low key lighting featuring of	11 🇺🇸	['✨', '📷', '📸', '🔥', '💯']
heat like l.a.!!! drippin sauce , los angeles	7 🔥	['📸', '😂', '📷', '😜', '🔥']
my handsome michael as little cutie , delaware	9 ❤	['💕', '😍', '😘', '😊', '💙']
still coming with that points, denver	7 🔥	['🔥', '📸', '📷', '💯', '😊']
i get my own fan tonight!! , california	3 😂	['📸', '📷', '💙', '✨', '😎']
7 years later, friday night lights are still	7 🔥	['✨', '🔥', '😜', '📷', '😊']
special henry time trails - noonday creek & downtown spur	9 ❤	['😊', '😁', '😎', '📸', '😂']
happy birthday uncle brian! love the power puff girls …	3 😂	['😘', '❤', '💕', '💜', '💙']
vacation was fun, but it's time to get back to work! we'll be at for market on…	16 😎	['😁', '😊', '😜', '😎', '✨']
when yo natural is lit …	7 🔥	['🔥', '💯', '😂', '😎', '😁']
sponteneous trip to epcot fireworks after work! …	2 😍	['🇺🇸', '💜', '😊', '😉', '✨']
"never was so much owed by so many few" -wc happy veterans day	11 🇺🇸	['🇺🇸', '😊', '😁', '😘', '💜']
missing vegas...missing this girls...and if it's possible missing also the heat i actually…	3 😂	['💕', '☀', '💜', '🔥', '💙']
i think my puppa has had a pretty good day. happy 9th birthday to the most spoiled dog in the…	17 😊	['😊', '😘', '😁', '❤', '💕']
life is like a chess game …	7 🔥	['😂', '💯', '😜', '😉', '📸']
in honor of my internship, my friends hooked me up with some sick ink state…	16 😎	['💕', '💜', '❤', '😊', '💙']
lots of great guy socks in stock now! …	11 🇺🇸	['😊', '😁', '😉', '❤', '😘']
rear back and aim, and fire away amphitheatre	7 🔥	['✨', '🔥', '😍', '💜', '📸']
don't you wish your ap chem class was like mine? s. marcus high school	4 😉	['😂', '😜', '💙', '😉', '💯']
plaza redondo beach and marina hotel	16 😎	['☀', '😎', '📷', '💙', '😍']
and a …	3 😂	['😜', '📸', '😍', '😂', '😉']
new baby yankeecandlemania yankeecandle_italia yankeecandlecompany …	2 😍	['😍', '✨', '🔥', '📸', '💙']
familia ️ ️ ️ en the ocean club	9 ❤	['😎', '🔥', '😜', '🇺🇸', '💯']
nights like this …	15 💕	['😂', '😜', '😉', '📸', '💯']
thank you again, dad for the most beautiful gloves from the bestest awesomest team the oakland…	9 ❤	['😘', '😍', '❤', '😊', '💕']
i just be playin b, stop it 5 lol …	3 😂	['😂', '😉', '😜', '😁', '💯']
my first time in disney was definitely magical disney's…	13 ✨	['✨', '😊', '😁', '😉', '😂']
i think of you city, new jersey	13 ✨	['✨', '🔥', '📸', '😍', '😉']
riverside 9/11 citywide day of service september 11, 2017 marks the 16th anniversary of the…	11 🇺🇸	['😎', '😁', '😊', '☀', '🇺🇸']
awa lineup everythings pretty flexible for me this con so just hmu if youd like to shoot or…	13 ✨	['😂', '😉', '😜', '📸', '📷']
*new designs comings soon . * this is the stellar bikini top .. working on…	13 ✨	['📸', '😉', '📷', '🔥', '😊']
tonight's apple orchard mini sessions! .... …	2 😍	['😁', '😎', '💙', '❤', '📷']
wishing i was taking pictures of the falls rather than doing homework falls, ontario,…	1 📸	['😉', '😂', '📷', '📸', '😁']
andrea is making a blueberry pie from scratch. , iowa	10 😁	['😜', '💕', '💜', '😊', '💙']
somebody loves the beach …	2 😍	['☀', '😎', '😜', '💙', '📷']
fresh ️ …	12 ☀	['😎', '📸', '😉', '😁', '😜']
beautiful_bombshell glad you love them 1of1 quality over everything	19 💯	['❤', '💕', '😘', '💜', '💙']
( outlet houston - in texas city, tx)	16 😎	['😎', '🇺🇸', '💯', '😂', '📷']
my boy getting down corral dallas	7 🔥	['💙', '😁', '📷', '😊', '🔥']
my sweet bristol ft hella freckles bizarre bazaar	9 ❤	['💕', '💜', '🔥', '❤', '😍']
guys, is pulling some right meow! thanks for the re-up on these righteous…	7 🔥	['😘', '😉', '😁', '😂', '💜']
if you ask me where my favorite view of los angeles is, i'd take you here	2 😍	['😍', '📸', '✨', '📷', '❤']
when you best friend jujukickz forces you out and here we are... …	16 😎	['💕', '💜', '💙', '❤', '😘']
can't take it , north carolina	3 😂	['💙', '💜', '💕', '💯', '☀']
my favorite time of the year with my favorite person center	5 🎄	['❤', '😍', '😊', '💕', '💜']
check out my "no sleep vol.1" on youtube. just type in lil pv , ohio	7 🔥	['😂', '💯', '😉', '😁', '😜']
happy 18month babyythankyuu for loving me ,thanks for the…	9 ❤	['😘', '🇺🇸', '😊', '💜', '💕']
shoutout to the man who took our picture after the maxwell show! hat…	2 😍	['📸', '😂', '📷', '💯', '😊']
c e n t e r | o f | g r a v i t ythanks for being a pseudo-archie with me for a day …	13 ✨	['😁', '☀', '😎', '😊', '🇺🇸']
with a long video shoot day…	19 💯	['📸', '📷', '🔥', '💯', '😂']
the real og up in this circa 2008. nyc	9 ❤	['💯', '📷', '✨', '😉', '😂']
a sign after my own food hall	9 ❤	['😊', '😎', '💜', '😂', '😜']
1 year ago today: my hair wasn't blonde and one direction wasn't dead park stadium	9 ❤	['💙', '📷', '💜', '✨', '📸']
ksjn 99.5 fm/hd is also broadcasting loud and clear... now.	4 😉	['😂', '📸', '📷', '🎄', '❤']
man i love my great job my beautiful ladies!! let's keep …	8 😘	['❤', '💕', '😍', '😘', '💜']
excited to spend every home game this season here	16 😎	['💙', '😊', '😁', '❤', '💜']
say what …	3 😂	['😁', '😂', '😉', '😎', '😜']
new nationltd! : boutique	1 📸	['✨', '🔥', '📸', '😍', '😉']
can't leave without seeing these two! ️ ️ ️ 26 years!!!!...…	9 ❤	['✨', '😍', '😊', '😁', '❤']
just thinking about taking over the world in the middle of nowhere. :	6 📷	['😂', '😉', '😜', '✨', '😁']
europe or brooklyn hmu .. : kylexelizabeth greene historic district	1 📸	['📷', '📸', '💯', '🇺🇸', '😁']
that child born to entertain! , texas	13 ✨	['🇺🇸', '😎', '😂', '😜', '📸']
i'm a sucker for a rooftop bar theatre	9 ❤	['😍', '😜', '😊', '💜', '❤']
, california	14 💙	['📸', '📷', '✨', '😎', '💙']
happy father's day to the best dad in the world! love you! …	9 ❤	['😘', '❤', '💕', '💜', '💙']
summertime lovin' . bridge at…	11 🇺🇸	['📸', '😊', '📷', '🇺🇸', '☀']
it's time! are you a always looking for stylish office supplies? i…	13 ✨	['📸', '😜', '📷', '😎', '😍']
new blog post up on tips and tricks to find the best photographer click link in bio or…	1 📸	['🔥', '✨', '📸', '😍', '💯']
about b lounge	7 🔥	['🔥', '😘', '💯', '😎', '😂']
i think i'm too old to fan girl downtown	2 😍	['😂', '😉', '😍', '💕', '😜']
good morning! learn to protect your sanity. …	12 ☀	['😊', '☀', '😁', '😎', '😉']
client view are my faves …	2 😍	['😍', '😎', '✨', '💙', '☀']
i need to write a top 10 article. for me, bread…	2 😍	['😉', '😂', '😜', '💯', '🔥']
cheeeese love this dress!! use my code - parker for…	10 😁	['❤', '💕', '😘', '💜', '😍']
she's married!!! congrats sfbeachl , south…	15 💕	['💜', '😘', '💙', '💯', '💕']
my face when a girl picks a fight with me high swimming pool	3 😂	['💜', '💙', '💕', '😜', '😂']
maybe someday court bungalows	13 ✨	['😂', '😊', '😜', '💜', '😉']
i love my guy friends soooo much omg	9 ❤	['❤', '💕', '💜', '😘', '😍']
so lucky to call him mine york, new york	9 ❤	['✨', '📸', '😍', '📷', '🔥']
listen to "oh my my freestyle" on youtube: themexican4life16 like subscribe and share this …	7 🔥	['😂', '😉', '😜', '📸', '💯']
what i'm most thankful for this thanksgiving! 's…	9 ❤	['💕', '❤', '💙', '💜', '😊']
workshop is tonight 6-7:30pm . stop by, it's free. join me and…	2 😍	['🔥', '✨', '😜', '📸', '😁']
the last dalai lama pa and i went to see in for all of you…	13 ✨	['😁', '😜', '😊', '😂', '😉']
love, love, loveeeee you, chant - with all my heart!! …	9 ❤	['😜', '📸', '😍', '😂', '😉']
cause of death... casually twirling a microphone stand …	2 😍	['😂', '📷', '🇺🇸', '✨', '💙']
i celebrate you sir..21 looks great on you feels like yesterday we were chilling and…	17 😊	['😉', '😂', '😊', '😜', '😁']
in our 20's and still the "kids table" ️ shores resort	9 ❤	['☀', '💜', '😎', '😍', '😁']
stunning. y'all wish her a happy birthday. creek vineyards…	9 ❤	['😘', '🇺🇸', '😊', '💜', '❤']
world series the mets loaded double burger or cheese burger turkey or beef with all your favorite…	13 ✨	['😍', '📷', '✨', '😁', '😜']
just another day at the office …	16 😎	['😁', '😎', '😉', '😊', '😜']
come on mss brendaaaa !!!! …	2 😍	['😉', '😎', '✨', '🔥', '😊']
missing my blondie right now... come back to texas please worth, texas	8 😘	['😎', '😂', '💯', '💜', '✨']
day 1: twin peaks, castro, dolores park, fisherman's wharf.happy holidays! …	5 🎄	['😁', '☀', '😎', '😊', '💙']
last ball; that money shot!	3 😂	['💯', '😜', '😂', '😎', '😁']
only in florida you can get hella sun burnt in winter	3 😂	['☀', '😎', '✨', '💙', '😁']
the good things in life are better with you ️ -unknown {scanned and developed by vbphotolab…	9 ❤	['😊', '😉', '😜', '✨', '☀']
it was nice spending my holiday in washington, d.c. with my emaratis brothers ️	9 ❤	['😊', '🎄', '😁', '😎', '📷']
reunited! ️ harbor	9 ❤	['💙', '😎', '☀', '😍', '💯']
always , kentucky	14 💙	['💙', '💕', '💯', '😁', '❤']
what a journey it has been watching . now…	17 😊	['😁', '📸', '😊', '😎', '😉']
this sun is everything	12 ☀	['☀', '😎', '📷', '😁', '✨']
wow! raising the holiday bar with this fun shot paddle and kit of "adult" peppermint hot…	5 🎄	['😜', '📷', '📸', '😊', '😁']
voxx's girls lunch.	9 ❤	['💕', '💜', '❤', '😍', '😘']
happy birthday boss high school	19 💯	['😘', '💙', '💜', '❤', '💕']
you'll never understand until it happens to you creek market…	16 😎	['😂', '😍', '📷', '📸', '😁']
today is international i stand for l ve day!!! believe in the power of love, & spread the word.…	9 ❤	['😁', '😍', '💯', '😂', '😉']
the sweetest bitches you'll ever meet shrine grotto of…	9 ❤	['😁', '💕', '💙', '😍', '😎']
america great again	11 🇺🇸	['🇺🇸', '😊', '😁', '😉', '📷']
bring me back to this magic .... …	13 ✨	['✨', '😍', '🔥', '💙', '💜']
become elite stay elite. ---------just like americans all over the world that take an…	11 🇺🇸	['😂', '😉', '😜', '✨', '📸']
sanantonio foodie mama geekette bits : how to get your kids to try new foods san antonio magazine	13 ✨	['✨', '😍', '🔥', '😉', '📸']
l.i.v.i.n.g chicago	9 ❤	['😎', '😊', '😁', '❤', '😍']
don't even care about how aggressive double posting is woods	4 😉	['😜', '📷', '😍', '😁', '💜']
prommy w dommy!!! 's roost	15 💕	['😜', '📸', '😍', '😂', '😉']
my girl!! ️ ️ 's pour house	9 ❤	['😜', '🇺🇸', '😊', '😂', '😎']
when the lady in the office asks you if you're going to any of the senior events, and you say no because you have no friends	3 😂	['😜', '😁', '😂', '😉', '💕']
night night from new orleans orleans, louisiana	8 😘	['🔥', '✨', '😍', '😜', '😉']
bruh this dude replied to a tweet from 4 years ago.......... promenade 16	3 😂	['😂', '💯', '😜', '💙', '😁']
promise me no promises …	7 🔥	['😁', '😉', '💜', '😊', '😂']
reunited with my hot babe finally college	15 💕	['🔥', '😘', '😊', '😍', '😁']
disney with my best friend 's magic kingdom	13 ✨	['✨', '💕', '💜', '💙', '❤']
thanks for visiting! love you mom & dad! see you guys soon!	9 ❤	['😘', '❤', '💕', '💜', '😍']
breakfast with kate. ('s cafe in milwaukee, wi)	9 ❤	['😉', '😊', '😍', '❤', '😁']
just ur gurlz bringin in the christmas cheer brick oven…	5 🎄	['🎄', '😉', '😂', '😜', '😍']
they in they cardi baggggg …	0 😜	['😜', '📸', '😍', '😂', '😉']
25% off fine jewelry sale only two more days! come on in or shop online with code fine25	7 🔥	['✨', '🔥', '😎', '😉', '😊']
valley penthouse suite	0 😜	['💙', '😁', '😎', '❤', '😂']
is heating up the dance floor and we haven't even hit the second set!!! come out…	7 🔥	['😉', '💯', '🔥', '💜', '✨']
basel prep with the homie richbcaliente | manuallfocus	1 📸	['💯', '🔥', '📸', '😎', '😂']
my productivity over the last 7 days • did 5 shoots (shot, edited and delivered)• purchased…	7 🔥	['😁', '😂', '😜', '☀', '😉']
on friday's we wear red to support women's heart health ️ club	9 ❤	['❤', '💯', '🔥', '💜', '🇺🇸']
sometimes we're too much alike but i love you all the more for it …	8 😘	['❤', '💕', '😘', '💜', '💙']
gm from phoenix and i , connecticut	4 😉	['😁', '💯', '🔥', '📷', '😂']
happy birthday to the best sister ever!!!!!! park	18 💜	['😘', '💜', '❤', '💕', '😊']
no bagels for heat miser today!!! fire is out for the next few days to enjoy the…	7 🔥	['☀', '🔥', '😊', '😁', '😉']
"keep your squats low but your heels high" a few of the newly arrived consignments that…	17 😊	['😊', '😜', '😁', '💯', '😍']
: almost forgot to post this very necessary •••• …	3 😂	['😉', '😂', '✨', '😊', '📸']
"should i splash her," says janna while i'm petting the vr whale. …	3 😂	['😂', '😉', '📸', '😁', '😜']
can't help but smile thinking about the fact ill be back in less than a week ahhh :-) …	13 ✨	['😁', '😊', '📸', '😉', '💜']
off the shoulder look from | sign up and shop this look: liketoknow.it…	9 ❤	['😂', '😍', '😜', '📷', '😎']
thank god for jamaica ️ ️ ️ kitchen	9 ❤	['😘', '😊', '❤', '💜', '💕']
black girl magic artifacts tattoo	13 ✨	['✨', '😍', '💕', '💜', '❤']
congrats to my bestie !!! - arrowhead cabin	13 ✨	['😘', '💜', '💙', '😊', '😜']
went for a hack through the field. this old man still has it. …	18 💜	['😂', '😜', '💯', '💙', '😉']
know your heart. the language of the heart ️ …	9 ❤	['😉', '😜', '❤', '💜', '😂']
can't wait to see what cooks up! ... …	7 🔥	['😉', '😍', '😜', '💙', '😁']
"hey, wassup, helloooo" towne mall	3 😂	['😁', '😎', '💯', '😍', '😂']
sunny day with my girls! ️ cafe - downtown sb	9 ❤	['☀', '😎', '😁', '😊', '💙']
hot n sweaty workout tonight, but that's just how i like it gym milwaukee	0 😜	['😂', '😉', '😜', '🔥', '💯']
my babe hit 11k followers today ! thanks to everyone who supports us !!!	8 😘	['😘', '😁', '😉', '💜', '😍']
happy sunday! . : .. …	1 📸	['🇺🇸', '😘', '😊', '💜', '❤']
don't nobody know my v business but me	3 😂	['😉', '😜', '😂', '💯', '😁']
my class! college of fine arts	2 😍	['😊', '💯', '💙', '✨', '❤']
strawberry agave margarita...we are in heaven ️ ️ ️ &…	9 ❤	['📷', '😍', '😜', '😘', '✨']
hey hey hey hey let's go state state university	18 💜	['😎', '😉', '😘', '😜', '💜']
vineyards	15 💕	['😁', '💯', '😘', '❤', '😎']
yeah she's got a little underbite starting to get back,better,…	10 😁	['😉', '😂', '😍', '😊', '😜']
little beach break before i return to studying ️ beach state reservation	12 ☀	['☀', '😎', '📷', '💙', '💜']
league is morristown	7 🔥	['😜', '😎', '💙', '😊', '🔥']
oh happy dayzzzzz ️ wesleyan university	12 ☀	['😘', '💜', '🇺🇸', '💙', '💕']
street	9 ❤	['📸', '🔥', '😎', '📷', '❤']
about last tuesday... killed her cover of the new unplugged is a…	2 😍	['🔥', '✨', '📸', '😍', '😉']
wishing you a belated merry christmas from me and gisele. …	5 🎄	['🎄', '✨', '❤', '😘', '💕']
hasta para aquiles... (at in fort worth, tx w/	10 😁	['😍', '😉', '😁', '😊', '😜']
puerto rico represent!!! ・・・had a chance to see this beauty in person…	17 😊	['😍', '💜', '📸', '💕', '😘']
i struggle with birthdays. and advent. this time of year, my melancholy-leaning heart easily…	5 🎄	['❤', '💜', '😁', '💙', '😊']
buy now click link! …	7 🔥	['🔥', '😂', '😉', '😎', '😁']
cousins. ️	9 ❤	['😜', '📸', '😍', '😂', '😉']
the energy here is so crazy! staying till monday now! lol the guy in the background tho!	2 😍	['😂', '😁', '😉', '😜', '😊']
left a little bit of my heart in it , massachusetts	14 💙	['❤', '💜', '💕', '💙', '😉']
rocking that runway in patriotic one piece model:…	11 🇺🇸	['😎', '😜', '🇺🇸', '🔥', '📸']
celebrating thundermanstv t episode with and make up artist…	19 💯	['💯', '😁', '😊', '😂', '💜']
my girl. ️ sayetoli breharri …	9 ❤	['😜', '📸', '😍', '😂', '😉']
my view for 2 hours every weekday for the next few years …	10 😁	['😍', '💙', '😜', '💯', '✨']
all caught up now. three good things 11/1916 …	17 😊	['😊', '☀', '😉', '😁', '😜']
happy 20th birthday to my bestie i don't know what i would do without her in my life !…	9 ❤	['😘', '💜', '❤', '😊', '💕']
home for a week , california	16 😎	['📸', '📷', '💙', '💜', '✨']
me and my mini me twinning at the rink tonight. we ️ skating. every wed night is family night!…	9 ❤	['🔥', '❤', '😊', '💕', '💙']
we're cute …	17 😊	['😍', '💕', '😘', '😂', '❤']
let us put out into the deep for a catch for jesus! ( by my…	1 📸	['💯', '😉', '😜', '😎', '📸']
happy birthday shmem love you forever park (lirr station)	18 💜	['❤', '😘', '💕', '💜', '💙']
buy me make up so i know it's real	2 😍	['💯', '😉', '😜', '😂', '😁']
i put nugs of bud in my roomate stockings you're welcome bitches	17 😊	['😜', '😉', '💙', '😎', '😘']
took the day off to do a whole lot of nothing with this stud , utah	9 ❤	['😁', '😊', '☀', '😎', '💜']
brbliss17's new whip gets all the babes river center	8 😘	['🔥', '😍', '✨', '😉', '📸']
studio is all set for littlefeather__ 's session! keep an eye out for…	13 ✨	['🔥', '📷', '😜', '💯', '📸']
i'm live on live.me come join , texas	3 😂	['✨', '😎', '🔥', '💯', '📸']
...true story , south carolina	3 😂	['☀', '💕', '💯', '💙', '😊']
i got my porg hotel	2 😍	['😂', '💯', '😍', '😜', '😉']
despite spencer's frown, we really are happily married ️ of iowa	9 ❤	['😂', '😜', '📸', '😊', '💯']
booties comin back in style , north…	16 😎	['📸', '😜', '😎', '💯', '😉']
s/o to dunkin' for the worlds smallest donut box and the large…	3 😂	['📷', '😂', '😜', '😘', '😁']
lit like bic miami beach, florida	7 🔥	['🔥', '😂', '😎', '😜', '☀']
i guess i should get ready for work today ..... , california	3 😂	['😁', '📸', '📷', '😎', '😂']
give your door more this holiday season! …	13 ✨	['🎄', '📷', '✨', '😜', '🇺🇸']
10.21.2017 a magical night. disney's magic kingdom	13 ✨	['✨', '😍', '💕', '💙', '❤']
yes i'm wearing clothes, and yes i'm obsessed with the pictures _pikturesque took for me	2 😍	['😜', '😂', '😁', '😊', '😍']
happy birthday to the most adorable, the most handsome and the smartest boys in the world!!! ️ i…	9 ❤	['😘', '🇺🇸', '❤', '😊', '💕']
happy 4th of july! lake, michigan	11 🇺🇸	['🇺🇸', '😘', '😊', '💜', '💕']
"i feel so addicted." - // headspace tour …	7 🔥	['📸', '😂', '✨', '📷', '💯']
garden of the gods, colorado en garden of the gods park	11 🇺🇸	['😎', '📸', '📷', '❤', '😍']
when the front shot doesn't work out bahama islands	3 😂	['📸', '📷', '😁', '😎', '😉']
nice! who cares about squats	0 😜	['📸', '💯', '🔥', '📷', '😂']
this place fun asl	3 😂	['😊', '😜', '😁', '💕', '✨']
rudolph event center	3 😂	['😍', '😉', '❤', '😊', '🔥']
backpack by available on itunes…	7 🔥	['✨', '🔥', '📷', '😎', '😍']
dh with his new hardware. room	9 ❤	['✨', '🔥', '📸', '😍', '😉']
• kit-cat • : beach, california	1 📸	['📸', '📷', '✨', '😎', '💙']
my fav little man reppin' the rebs academy	9 ❤	['💙', '💕', '💜', '😍', '😉']
in love with these gorgeous bangles from charmingcharlie . what i love even more is the…	15 💕	['❤', '💕', '😘', '💜', '😍']
chanel's cuba cruise collection walked right off the runway and straight into my styling.…	9 ❤	['🔥', '😂', '💯', '😎', '😜']
i've found the place the sun shines forever!!! house historical site	12 ☀	['☀', '😊', '✨', '😎', '📷']
x dusse &netflix dc party : druzydru street	1 📸	['🔥', '😎', '🎄', '📷', '🇺🇸']
off to the motherland... spiders, lizards, and bugs. oh my! - john f. kennedy…	3 😂	['😂', '😍', '😁', '😉', '❤']
one year is a piece of cake when it's spent with your best friend sox…	17 😊	['💕', '💙', '💜', '❤', '😍']
just wrapped my last call for the week it's crazy to think that i am doing exactly what i felt…	15 💕	['😂', '😉', '😜', '😁', '😎']
successful zoo day city zoo	17 😊	['😁', '😊', '😎', '☀', '💙']
i just dropped byto say hello to my friend mark	0 😜	['😉', '😂', '😁', '😜', '😊']
a little bit of coffee and a whole lot of jesus java coffee bar	9 ❤	['😉', '📷', '😊', '😁', '💜']
i guess we're all set up. ready to show the last styles •_• direi che ci siamo.…	16 😎	['😜', '😉', '🔥', '💯', '😁']
reflections art district	2 😍	['📷', '📸', '✨', '😍', '🇺🇸']
squad! kilt pub and eatery	19 💯	['😉', '😁', '😘', '💕', '❤']
there's nothing {sweeter} than a muzziesprom dress ️!!•• style: faviana 8002 's prom	9 ❤	['💜', '✨', '💕', '😍', '💙']
is all smiles after a couple of activations! …	1 📸	['😁', '😊', '😜', '😉', '😍']
proving everything i bragged about and giving people the business if they fuck me over	16 😎	['💯', '😂', '😎', '❤', '💕']
times dinner & tournament - orlando	0 😜	['😊', '😉', '😍', '😜', '😂']
best day ever thank you to all our friends and families for joining us, we were surrounded by…	15 💕	['😊', '💜', '💕', '😘', '❤']
nice and fine > unforgettable ... caption cred	3 😂	['📸', '📷', '😉', '😁', '😎']
4 miles right quick! i'm lying, that shit took me an hour . did it…	3 😂	['😂', '💯', '😜', '😉', '🔥']
friday night shenanigans with the majority	14 💙	['🔥', '✨', '😜', '📷', '😎']
" superstar " the 2017 central coast oyster festival was so much fun, the audience this year was…	13 ✨	['✨', '📷', '😊', '💜', '🇺🇸']
i'm just about clinging onto my abs with disney dining …	3 😂	['😉', '😂', '😜', '✨', '😁']
boston sail loft	2 😍	['😍', '📸', '💙', '📷', '❤']
her sign says hugs not hate courthouse at 225 cadman plaza	9 ❤	['😂', '😜', '😉', '💯', '😁']
this girl works too hard! thank you for everything hun …	8 😘	['😘', '💜', '❤', '💕', '😊']
day 3 in weather cleared. shores outer banks nc	9 ❤	['☀', '😎', '😊', '😁', '💙']
god bless america angeles, california	11 🇺🇸	['🇺🇸', '📸', '📷', '✨', '💙']
️ ️ ️ kitchen	9 ❤	['😍', '😜', '📷', '😘', '😁']
made it home. stadium	2 😍	['💙', '💜', '❤', '😉', '💯']
️ ️ ️ of washington - meany hall	9 ❤	['💜', '💯', '😊', '📷', '❤']
heeeeythere mall	15 💕	['😁', '😎', '💯', '😍', '😂']
with the imscooyun man seems like yesterday …	7 🔥	['😂', '😜', '📸', '😉', '📷']
living our best sam hunt life with our $21 souvenir plastic mason jars. -chin pavilion	15 💕	['💕', '💜', '❤', '😍', '💙']
good morning ️ george's county	12 ☀	['☀', '😊', '😁', '😎', '💯']
is so delicious! downtown eatery + tavern	2 😍	['📸', '💕', '💙', '😊', '😘']
my man makes me feel so got damn fine.	8 😘	['😂', '💯', '😉', '🔥', '😜']
pit gig. if you can read this, thank your music teacher ️ . . . . . …	9 ❤	['😘', '😊', '💜', '❤', '😁']
bestfriend plex	9 ❤	['😘', '❤', '💕', '💜', '😊']
unfocused | , arizona	1 📸	['📸', '😉', '😎', '💙', '🔥']
even though i'm like a foot shorter than them, i love them anyways , ohio	15 💕	['❤', '💕', '😘', '💜', '💙']
feeling like a wonderful spring day. in the middle of december ( inc in tempe, az)	10 😁	['😂', '😉', '😜', '📸', '✨']
from the beginning to 2016 …	11 🇺🇸	['📷', '🎄', '🔥', '✨', '😁']
forever on vacation with modeliste it-girl thecodeofstyle location:	1 📸	['💜', '💙', '❤', '💕', '😎']
monday jammin. , ohio	7 🔥	['😁', '💕', '😘', '😊', '😉']
last one .... i think head	15 💕	['😂', '😜', '😉', '😁', '💯']
dab on em one time top sports world - gatlinburg, tn	19 💯	['😁', '✨', '😎', '😊', '😂']
dreams money can't buy. cooper fox ballroom sf	1 📸	['💯', '✨', '📷', '😜', '😁']
me and my girl at the park today. ️ county park	9 ❤	['📷', '❤', '📸', '😎', '💜']
el es nuestro candidato sanders rally austin, tx	11 🇺🇸	['😁', '😍', '😜', '😊', '💜']
big and small. thirsty koala	9 ❤	['💯', '💙', '😊', '😜', '😂']
g-eazy shut down the whole city of west palm beach tonight	7 🔥	['☀', '😎', '🔥', '📸', '📷']
️happy one year anniversary love! cheers to many more! i love you whole heartedly! vetti_scott…	9 ❤	['❤', '💕', '😘', '💜', '💙']
early morning backyard stroll on frozen ground with the pup. coming home to where i grew up.…	9 ❤	['☀', '😊', '😍', '😁', '😉']
my mom and sisters district	18 💜	['💕', '💜', '❤', '😂', '😁']
work done friday	13 ✨	['😁', '😜', '😎', '📷', '😉']
malaysian body wave by toiasha-hairboss	9 ❤	['💯', '✨', '😉', '😁', '😜']
congrats mister + mrs. porter! room	9 ❤	['💜', '🔥', '😍', '😘', '💙']
amazing book! i want more of the heartbreakers!! fallzswimmer , alabama	9 ❤	['😍', '😉', '❤', '✨', '💜']
i makeovers. balayage and cut. by gina studio	15 💕	['📷', '😜', '📸', '🔥', '✨']
be yourself because an orignal is always worth more than a copy. hyatt baha mar	15 💕	['😍', '🇺🇸', '💙', '💕', '📷']
...about last night music hall	9 ❤	['🔥', '✨', '📷', '💜', '😜']
oh so cute. county courthouse	9 ❤	['😂', '💯', '😍', '😜', '😁']
today's want a delicious smoothie recipe to detox from the weekend? try this…	18 💜	['😉', '😂', '😊', '😜', '😍']
you just never know how strong you are, joel leet park	1 📸	['😉', '😜', '😂', '📷', '💯']
auntie sherry captured this lil piece of perfection just being herself …	2 😍	['😉', '😂', '😜', '😁', '💯']
wanna taco bout it? :…	6 📷	['💯', '😂', '📸', '😎', '🔥']
you are the best thing that's ever been mine ️ , missouri	9 ❤	['💕', '💜', '💙', '😍', '😘']
when you tryna sleep , michigan	3 😂	['😊', '😂', '💕', '😁', '☀']
mommy & me 's bbq and bar	18 💜	['😜', '😊', '😎', '💜', '😍']
i can't feel my face when i'm with you, but i love it sigma…	15 💕	['❤', '💕', '😘', '💜', '😍']
add me if you want more weirdness and less planned photos. broad	3 😂	['😉', '✨', '😂', '😎', '😜']
after getting soaked multiple times we somehow got this decent selfie …	14 💙	['😜', '😂', '😉', '😊', '😎']
snuggling up and watching spongebob before work they look so comfy! , indiana	2 😍	['😂', '😉', '😁', '📷', '😍']
link in bio! "body" r&b beat prod.by for sale! …	7 🔥	['🔥', '💯', '✨', '📸', '💜']
where is my red book ?!?! my latest story for …	9 ❤	['🇺🇸', '😉', '🔥', '😍', '📸']
any dream can turn into a reality...... fox x jacket (original design) sold…	1 📸	['✨', '📷', '😂', '😍', '🇺🇸']
